,PGE_valley,PGE_bay,SCE,SDGE
0,3042.7473118279568,35.0,428.0,31.0
1,3042.7473118279568,35.0,428.0,31.0
2,3042.7473118279568,35.0,428.0,31.0
3,3042.7473118279568,35.0,428.0,31.0
4,3042.7473118279568,35.0,428.0,31.0
5,3042.7473118279568,35.0,428.0,31.0
6,3042.7473118279568,35.0,428.0,31.0
7,3042.7473118279568,35.0,428.0,31.0
8,3042.7473118279568,35.0,428.0,31.0
9,3042.7473118279568,35.0,428.0,31.0
10,3042.7473118279568,35.0,428.0,31.0
11,3042.7473118279568,35.0,428.0,31.0
12,3042.7473118279568,35.0,428.0,31.0
13,3042.7473118279568,35.0,428.0,31.0
14,3042.7473118279568,35.0,428.0,31.0
15,3042.7473118279568,35.0,428.0,31.0
16,3042.7473118279568,35.0,428.0,31.0
17,3042.7473118279568,35.0,428.0,31.0
18,3042.7473118279568,35.0,428.0,31.0
19,3042.7473118279568,35.0,428.0,31.0
20,3042.7473118279568,35.0,428.0,31.0
21,3042.7473118279568,35.0,428.0,31.0
22,3042.7473118279568,35.0,428.0,31.0
23,3042.7473118279568,35.0,428.0,31.0
24,3042.7473118279568,35.0,428.0,31.0
25,3042.7473118279568,35.0,428.0,31.0
26,3042.7473118279568,35.0,428.0,31.0
27,3042.7473118279568,35.0,428.0,31.0
28,3042.7473118279568,35.0,428.0,31.0
29,3042.7473118279568,35.0,428.0,31.0
30,3042.7473118279568,35.0,428.0,31.0
31,3042.7473118279568,35.0,428.0,31.0
32,3042.7473118279568,35.0,428.0,31.0
33,3042.7473118279568,35.0,428.0,31.0
34,3042.7473118279568,35.0,428.0,31.0
35,3042.7473118279568,35.0,428.0,31.0
36,3042.7473118279568,35.0,428.0,31.0
37,3042.7473118279568,35.0,428.0,31.0
38,3042.7473118279568,35.0,428.0,31.0
39,3042.7473118279568,35.0,428.0,31.0
40,3042.7473118279568,35.0,428.0,31.0
41,3042.7473118279568,35.0,428.0,31.0
42,3042.7473118279568,35.0,428.0,31.0
43,3042.7473118279568,35.0,428.0,31.0
44,3042.7473118279568,35.0,428.0,31.0
45,3042.7473118279568,35.0,428.0,31.0
46,3042.7473118279568,35.0,428.0,31.0
47,3042.7473118279568,35.0,428.0,31.0
48,3042.7473118279568,35.0,428.0,31.0
49,3042.7473118279568,35.0,428.0,31.0
50,3042.7473118279568,35.0,428.0,31.0
51,3042.7473118279568,35.0,428.0,31.0
52,3042.7473118279568,35.0,428.0,31.0
53,3042.7473118279568,35.0,428.0,31.0
54,3042.7473118279568,35.0,428.0,31.0
55,3042.7473118279568,35.0,428.0,31.0
56,3042.7473118279568,35.0,428.0,31.0
57,3042.7473118279568,35.0,428.0,31.0
58,3042.7473118279568,35.0,428.0,31.0
59,3042.7473118279568,35.0,428.0,31.0
60,3042.7473118279568,35.0,428.0,31.0
61,3042.7473118279568,35.0,428.0,31.0
62,3042.7473118279568,35.0,428.0,31.0
63,3042.7473118279568,35.0,428.0,31.0
64,3042.7473118279568,35.0,428.0,31.0
65,3042.7473118279568,35.0,428.0,31.0
66,3042.7473118279568,35.0,428.0,31.0
67,3042.7473118279568,35.0,428.0,31.0
68,3042.7473118279568,35.0,428.0,31.0
69,3042.7473118279568,35.0,428.0,31.0
70,3042.7473118279568,35.0,428.0,31.0
71,3042.7473118279568,35.0,428.0,31.0
72,3042.7473118279568,35.0,428.0,31.0
73,3042.7473118279568,35.0,428.0,31.0
74,3042.7473118279568,35.0,428.0,31.0
75,3042.7473118279568,35.0,428.0,31.0
76,3042.7473118279568,35.0,428.0,31.0
77,3042.7473118279568,35.0,428.0,31.0
78,3042.7473118279568,35.0,428.0,31.0
79,3042.7473118279568,35.0,428.0,31.0
80,3042.7473118279568,35.0,428.0,31.0
81,3042.7473118279568,35.0,428.0,31.0
82,3042.7473118279568,35.0,428.0,31.0
83,3042.7473118279568,35.0,428.0,31.0
84,3042.7473118279568,35.0,428.0,31.0
85,3042.7473118279568,35.0,428.0,31.0
86,3042.7473118279568,35.0,428.0,31.0
87,3042.7473118279568,35.0,428.0,31.0
88,3042.7473118279568,35.0,428.0,31.0
89,3042.7473118279568,35.0,428.0,31.0
90,3042.7473118279568,35.0,428.0,31.0
91,3042.7473118279568,35.0,428.0,31.0
92,3042.7473118279568,35.0,428.0,31.0
93,3042.7473118279568,35.0,428.0,31.0
94,3042.7473118279568,35.0,428.0,31.0
95,3042.7473118279568,35.0,428.0,31.0
96,3042.7473118279568,35.0,428.0,31.0
97,3042.7473118279568,35.0,428.0,31.0
98,3042.7473118279568,35.0,428.0,31.0
99,3042.7473118279568,35.0,428.0,31.0
100,3042.7473118279568,35.0,428.0,31.0
101,3042.7473118279568,35.0,428.0,31.0
102,3042.7473118279568,35.0,428.0,31.0
103,3042.7473118279568,35.0,428.0,31.0
104,3042.7473118279568,35.0,428.0,31.0
105,3042.7473118279568,35.0,428.0,31.0
106,3042.7473118279568,35.0,428.0,31.0
107,3042.7473118279568,35.0,428.0,31.0
108,3042.7473118279568,35.0,428.0,31.0
109,3042.7473118279568,35.0,428.0,31.0
110,3042.7473118279568,35.0,428.0,31.0
111,3042.7473118279568,35.0,428.0,31.0
112,3042.7473118279568,35.0,428.0,31.0
113,3042.7473118279568,35.0,428.0,31.0
114,3042.7473118279568,35.0,428.0,31.0
115,3042.7473118279568,35.0,428.0,31.0
116,3042.7473118279568,35.0,428.0,31.0
117,3042.7473118279568,35.0,428.0,31.0
118,3042.7473118279568,35.0,428.0,31.0
119,3042.7473118279568,35.0,428.0,31.0
120,3042.7473118279568,35.0,428.0,31.0
121,3042.7473118279568,35.0,428.0,31.0
